Name,Inventory Icon,Inventory Icon (Altered),Caption,Equip Slot,Object Map Link,Source 1,Source 2,Repurchase Shop,Buy Price (Rupees),Buy Price (Poes),Sell Price (Base),Sell Price ★,Sell Price ★★,Sell Price ★★★,Sell Price ★★★★,Effect,Effect Icon,Hidden Effect,Set Bonus,Hidden Set Bonus,Dyeable,Defense (Base),Defense ★,Defense ★★,Defense ★★★,Defense ★★★★,Upgrade Material ★ (1),Upgrade Material Quantity ★ (1),Upgrade Material ★ (2),Upgrade Material Quantity ★ (2),Upgrade Material ★ (3),Upgrade Material Quantity ★ (3),Upgrade Material ★★ (1),Upgrade Material Quantity ★★ (1),Upgrade Material ★★ (2),Upgrade Material Quantity ★★ (2),Upgrade Material ★★ (3),Upgrade Material Quantity ★★ (3),Upgrade Material ★★★ (1),Upgrade Material Quantity ★★★ (1),Upgrade Material ★★★ (2),Upgrade Material Quantity ★★★ (2),Upgrade Material ★★★ (3),Upgrade Material Quantity ★★★ (3),Upgrade Material ★★★★ (1),Upgrade Material Quantity ★★★★ (1),Upgrade Material ★★★★ (2),Upgrade Material Quantity ★★★★ (2),Upgrade Material ★★★★ (3),Upgrade Material Quantity ★★★★ (3),Name (Japanese),Caption (Japanese),ActorName (Base),ActorName ★,ActorName ★★,ActorName ★★★,ActorName ★★★★,ActorName (Base) [Altered],Set (Internal),Inventory Order (By body part),Inventory Order (By set)
Barbarian Armor,,-,"Armor once favored by an ancient warlike
tribe from the Faron region. The war paint
bolsters your fighting spirit and raises
your attack power.",Body,Barbarian Armor,Treasure Chest (Crenel Hills Cave),-,Cece (Ventest Clothing Boutique),4000,-,600,650,750,950,1450,Attack Up,,-,Charge Atk. Stamina Up,-,TRUE,3,5,8,12,20,Mighty Thistle,3,-,-,-,-,Lynel Saber Horn,2,Lynel Mace Horn,2,Razorshroom,5,Blue-Maned Lynel Saber Horn,3,Blue-Maned Lynel Mace Horn,3,Razorclaw Crab,3,White-Maned Lynel Saber Horn,3,White-Maned Lynel Mace Horn,3,Bladed Rhino Beetle,3,蛮族の服,"はるか昔 フィローネ地方を拠点にしたといわれる
戦闘部族の服 身に着けると刻まれている特殊な
文様によって闘争心が湧き 攻撃力が増加する",Armor_048_Upper,Armor_111_Upper,Armor_112_Upper,Armor_113_Upper,Armor_114_Upper,-,Power,070,032
Barbarian Leg Wraps,,-,"These leg wraps were favored by a warlike
tribe from the Faron region long ago. They're
adorned with traditional markings that bolster
your fighting spirit to raise your attack power.",Legs,Barbarian Leg Wraps,Treasure Chest (Walnot Mountain Cave),-,Cece (Ventest Clothing Boutique),4000,-,600,650,750,950,1450,Attack Up,,-,Charge Atk. Stamina Up,-,TRUE,3,5,8,12,20,Mighty Thistle,3,-,-,-,-,Lynel Saber Horn,2,Lynel Mace Horn,2,Razorshroom,5,Blue-Maned Lynel Saber Horn,3,Blue-Maned Lynel Mace Horn,3,Razorclaw Crab,3,White-Maned Lynel Saber Horn,3,White-Maned Lynel Mace Horn,3,Bladed Rhino Beetle,3,蛮族の腰巻き,"大昔にフィローネ地方にいたといわれる
戦闘部族の腰巻き 身に着けた者は施された特殊な
文様により闘争心が湧いて 攻撃力が増加する",Armor_048_Lower,Armor_111_Lower,Armor_112_Lower,Armor_113_Lower,Armor_114_Lower,-,Power,109,033
Radiant Mask,,-,"A mask painted with dye made from crushed
luminous stones. Its bone-like patterns give
off a lurid, mysterious glow in the dark.",Head,Radiant Mask,Armor Shop (Enchanted),-,-,800,-,200,250,350,550,1050,-,-,Night Glow,Disguise; Bone Weap. Prof.,-,TRUE,3,5,8,12,20,Luminous Stone,10,Bokoblin Guts,1,-,-,Luminous Stone,15,Moblin Guts,2,-,-,Luminous Stone,20,Horriblin Guts,3,Gibdo Bone,10,Luminous Stone,30,Lynel Guts,3,Molduga Jaw,3,夜光マスク,"夜光石を原料とする 珍しい染料で
骨の柄のペイントを施したマスク
暗闇ではぼんやりと発光し 怪しさ満点",Armor_017_Head,Armor_087_Head,Armor_088_Head,Armor_089_Head,Armor_090_Head,-,NightGlow,011,034
Radiant Shirt,,-,"The paint on this shirt is made from crushed
luminous stones. It causes the shirt to show a
glowing bone-like pattern in the dark.",Body,Radiant Shirt,Armor Shop (Enchanted),-,Armor Shop (Lookout Landing),800,-,200,250,350,550,1050,-,-,Night Glow,Disguise; Bone Weap. Prof.,-,TRUE,3,5,8,12,20,Luminous Stone,10,Bokoblin Guts,1,-,-,Luminous Stone,15,Moblin Guts,2,-,-,Luminous Stone,20,Horriblin Guts,3,Gibdo Bone,10,Luminous Stone,30,Lynel Guts,3,Molduga Jaw,3,夜光スーツ,"夜光石を用いた染料で ペイントが施されたスーツ
一見 何の変哲もないようだが 暗闇の中でだけ
染料が光り 骨の柄が浮かび上がる仕組み",Armor_017_Upper,Armor_087_Upper,Armor_088_Upper,Armor_089_Upper,Armor_090_Upper,-,NightGlow,071,035
Radiant Tights,,-,"The paint on these tights is made from
crushed luminous stones. It causes the
tights to show a glowing bone-like pattern
in the dark.",Legs,Radiant Tights,Armor Shop (Enchanted),-,-,800,-,200,250,350,550,1050,-,-,Night Glow,Disguise; Bone Weap. Prof.,-,TRUE,3,5,8,12,20,Luminous Stone,10,Bokoblin Guts,1,-,-,Luminous Stone,15,Moblin Guts,2,-,-,Luminous Stone,20,Horriblin Guts,3,Gibdo Bone,10,Luminous Stone,30,Lynel Guts,3,Molduga Jaw,3,夜光タイツ,"夜光石を砕いて作った特殊な染料で ペイントが
施されたタイツ 暗闇の中では怪しく光り
骨のような柄が 浮かび上がってくる",Armor_017_Lower,Armor_087_Lower,Armor_088_Lower,Armor_089_Lower,Armor_090_Lower,-,NightGlow,110,036
Royal Guard Cap,,-,"This spiffy cap is part of the uniform for
Hyrule's royal guard. It's lighter than
it looks and easy to move around in.
Recently reproduced and made available.",Head,Royal Guard Cap,Treasure Chest (Zelda’s Room),-,Cece (Ventest Clothing Boutique),4000,-,600,650,750,950,1450,-,-,-,Charge Atk. Stamina Up,-,FALSE,4,6,10,15,24,Boss Bokoblin Horn,3,Bokoblin Guts,3,-,-,Blue Boss Bokoblin Horn,3,Boss Bokoblin Guts,3,-,-,Black Boss Bokoblin Horn,3,Hinox Guts,3,-,-,Silver Boss Bokoblin Horn,3,Molduga Guts,3,Gleeok Guts,3,近衛兵の帽子,"ハイラル王国 近衛兵の正装とされる帽子
見た目よりも軽く 身に着けた者の動きを妨げない
最近 復刻され 一般に出回るようになった",Armor_179_Head,Armor_1146_Head,Armor_1147_Head,Armor_1148_Head,Armor_1149_Head,-,RoyalGuard,012,037
Royal Guard Uniform,,-,"The dignified uniform for Hyrule's royal
guard. It's made of lightweight materials
and is both stylish and practical. Recently
reproduced and made available.",Body,Royal Guard Uniform,Treasure Chest (Guard’s Chamber),Armor Shop (Ventest Clothing Boutique),-,2200,-,550,600,700,900,1400,-,-,-,Charge Atk. Stamina Up,-,FALSE,4,6,10,15,24,Boss Bokoblin Horn,3,Bokoblin Guts,3,-,-,Blue Boss Bokoblin Horn,3,Boss Bokoblin Guts,3,-,-,Black Boss Bokoblin Horn,3,Hinox Guts,3,-,-,Silver Boss Bokoblin Horn,3,Molduga Guts,3,Gleeok Guts,3,近衛兵の服,"ハイラル王国 近衛兵の正装とされる服
軽い素材を用い 見た目と実用性を兼ね備えている
最近 復刻され 一般に出回るようになった",Armor_179_Upper,Armor_1146_Upper,Armor_1147_Upper,Armor_1148_Upper,Armor_1149_Upper,-,RoyalGuard,072,038
Royal Guard Boots,,-,"These boots are part of the uniform for
Hyrule's royal guard. They're a fine blend
of style and function. Recently reproduced
and made available.",Legs,Royal Guard Boots,Treasure Chest (King’s Study),-,Cece (Ventest Clothing Boutique),4000,-,600,650,750,950,1450,-,-,-,Charge Atk. Stamina Up,-,FALSE,4,6,10,15,24,Boss Bokoblin Horn,3,Bokoblin Guts,3,-,-,Blue Boss Bokoblin Horn,3,Boss Bokoblin Guts,3,-,-,Black Boss Bokoblin Horn,3,Hinox Guts,3,-,-,Silver Boss Bokoblin Horn,3,Molduga Guts,3,Gleeok Guts,3,近衛兵のブーツ,"ハイラル王国 近衛兵の正装とされるブーツ
見た目だけでなく 動きやすさも兼ね備えたもの
最近 復刻され 一般に出回るようになった",Armor_179_Lower,Armor_1146_Lower,Armor_1147_Lower,Armor_1148_Lower,Armor_1149_Lower,-,RoyalGuard,111,039
Froggy Hood,,-,"A good hood for a rainy day. The perfectly
weighted headband keeps the wearer focused
and stabilized, making it easier to climb wet,
slippery surfaces.",Head,Froggy Hood,Potential Princess Sightings! (4 Stables),-,Cece (Ventest Clothing Boutique),4000,-,600,650,750,950,1450,Slip Resistance,,Moisturizing,Slip Proof,-,TRUE,3,5,8,12,20,Sticky Lizard,3,-,-,-,-,Horriblin Horn,5,Sticky Lizard,5,-,-,Blue Horriblin Horn,5,Sticky Frog,5,-,-,Black Horriblin Horn,5,Horriblin Guts,10,Opal,10,カワズの頭巾,"雨の多い地域で活動するのに適した頭巾
鉢がねが頭部のブレを抑え 重心を安定させるので
濡れて滑る壁面でも 登りやすくなる",Armor_1046_Head,Armor_1047_Head,Armor_1048_Head,Armor_1049_Head,Armor_1050_Head,-,NotSlippy,013,040
Froggy Sleeve,,-,"A good sleeve for a rainy day. Small dimples
on the fingers act as suction cups, giving
good grip on wet, slippery surfaces.",Body,Froggy Sleeve,Potential Princess Sightings! (9 Stables),-,Cece (Ventest Clothing Boutique),4000,-,600,650,750,950,1450,Slip Resistance,,Moisturizing,Slip Proof,-,TRUE,3,5,8,12,20,Sticky Lizard,3,-,-,-,-,Horriblin Horn,5,Sticky Lizard,5,-,-,Blue Horriblin Horn,5,Sticky Frog,5,-,-,Black Horriblin Horn,5,Horriblin Guts,10,Opal,10,カワズの手甲,"雨の多い地域で活動するのに適した手甲
指の腹に刻まれた細かな溝が 吸盤の役割を果たし
濡れた壁を登っても 滑り落ちにくい",Armor_1046_Upper,Armor_1047_Upper,Armor_1048_Upper,Armor_1049_Upper,Armor_1050_Upper,-,NotSlippy,073,041
Froggy Leggings,,-,"Good leggings for a rainy day. The feet are
covered in small dimples and treated with
an anti-slip substance, giving them great
traction on wet, slippery surfaces.",Legs,Froggy Leggings,Potential Princess Sightings! (12 Stables),-,Cece (Ventest Clothing Boutique),4000,-,600,650,750,950,1450,Slip Resistance,,Moisturizing,Slip Proof,-,TRUE,3,5,8,12,20,Sticky Lizard,3,-,-,-,-,Horriblin Horn,5,Sticky Lizard,5,-,-,Blue Horriblin Horn,5,Sticky Frog,5,-,-,Black Horriblin Horn,5,Horriblin Guts,10,Opal,10,カワズの足袋,"雨の多い地域で活動するのに適した足袋
底面には細かい溝がびっしりで 滑り止めの薬剤も
塗られているため 濡れた壁面でも滑りにくい",Armor_1046_Lower,Armor_1047_Lower,Armor_1048_Lower,Armor_1049_Lower,Armor_1050_Lower,-,NotSlippy,112,042
Glide Mask,,-,"A mask with a wind-resistant design that
allows for steadier gliding while the wearer
plummets from the sky.",Head,-,Dive Ceremony (Valor Island),-,Cece (Ventest Clothing Boutique),4000,-,600,650,750,950,1450,Skydive Mobility Up,,-,Impact Proof,-,TRUE,2,4,6,9,16,Keese Wing,3,-,-,-,-,Aerocuda Eyeball,6,Keese Wing,5,-,-,Aerocuda Wing,6,Aerocuda Eyeball,8,-,-,Gleeok Wing,12,Aerocuda Wing,10,Gibdo Wing,8,グライドマスク,"前方からの空気抵抗を下げるように
作られたマスク 整流効果によりダイビング中に
安定した滑空を可能とする",Armor_1006_Head,Armor_1007_Head,Armor_1008_Head,Armor_1009_Head,Armor_1010_Head,-,Diving,014,043
Glide Shirt,,-,"The cloth sewn to this shirt helps it ""catch""
air, increasing the wearer's ability to glide
while they plummet from the sky.",Body,-,Dive Ceremony (Courage Island),-,Cece (Ventest Clothing Boutique),4000,-,600,650,750,950,1450,Skydive Mobility Up,,-,Impact Proof,-,TRUE,2,4,6,9,16,Keese Wing,3,-,-,-,-,Aerocuda Eyeball,6,Keese Wing,5,-,-,Aerocuda Wing,6,Aerocuda Eyeball,8,-,-,Gleeok Wing,12,Aerocuda Wing,10,Gibdo Wing,8,グライドスーツ,"空気を捉えて揚力を得られるように
上半身の各所に布が張られたスーツ
ダイビング時の滑空性能を向上させる",Armor_1006_Upper,Armor_1007_Upper,Armor_1008_Upper,Armor_1009_Upper,Armor_1010_Upper,-,Diving,074,044
Glide Tights,,-,"The cloth sewn to these tights allows their
wearer to glide more easily as they plummet
from the sky.",Legs,-,Dive Ceremony (Bravery Island),-,Cece (Ventest Clothing Boutique),4000,-,600,650,750,950,1450,Skydive Mobility Up,,-,Impact Proof,-,TRUE,2,4,6,9,16,Keese Wing,3,-,-,-,-,Aerocuda Eyeball,6,Keese Wing,5,-,-,Aerocuda Wing,6,Aerocuda Eyeball,8,-,-,Gleeok Wing,12,Aerocuda Wing,10,Gibdo Wing,8,グライドタイツ,"下半身の各所に布を張ったタイツ
空気抵抗を上げる事で
ダイビングの際に滑空しやすくなる",Armor_1006_Lower,Armor_1007_Lower,Armor_1008_Lower,Armor_1009_Lower,Armor_1010_Lower,-,Diving,113,045
Hood of the Depths,,-,"A hood acquired by offering Poes to a strange
statue found in the Depths. Woven of
monstrous materials, it offers some resistance
to gloom.",Head,-,Bargainer Statue Shop (Find 6),-,-,-,300,600,650,750,950,1450,Gloom Resistance,,-,Gloom Attack Resist,-,TRUE,3,5,8,12,20,Deep Firefly,3,-,-,-,-,Frox Fang,3,Dark Clump,5,-,-,Obsidian Frox Fang,3,Zonaite,20,Frox Fingernail,3,Blue-White Frox Fang,5,Large Zonaite,10,Frox Guts,3,暗闇の頭巾,"奇妙な像にポゥを捧げる事で得られる頭巾
魔物に由来する素材が使われているようで
瘴気の影響を受けにくくなる特性を持つ",Armor_1141_Head,Armor_1142_Head,Armor_1143_Head,Armor_1144_Head,Armor_1145_Head,-,UnderGround,015,046
Tunic of the Depths,,-,"A tunic acquired by offering Poes to a strange
statue found in the Depths. Woven of
monstrous materials, it offers some resistance
to gloom.",Body,-,Bargainer Statue Shop (Find 2),-,-,-,150,600,650,750,950,1450,Gloom Resistance,,-,Gloom Attack Resist,-,TRUE,3,5,8,12,20,Deep Firefly,3,-,-,-,-,Frox Fang,3,Dark Clump,5,-,-,Obsidian Frox Fang,3,Zonaite,20,Frox Fingernail,3,Blue-White Frox Fang,5,Large Zonaite,10,Frox Guts,3,暗闇の衣,"奇妙な像にポゥを捧げる事で得られる衣
魔物の素材を織り込んだ生地の効能により
瘴気の影響を少しだけ防ぐ事ができる",Armor_1141_Upper,Armor_1142_Upper,Armor_1143_Upper,Armor_1144_Upper,Armor_1145_Upper,-,UnderGround,075,047
Gaiters of the Depths,,-,"Gaiters acquired by offering Poes to a
strange statue found in the Depths.
Woven of monstrous materials, they
offer some resistance to gloom.",Legs,-,Bargainer Statue Shop (Find 4),-,-,-,200,600,650,750,950,1450,Gloom Resistance,,-,Gloom Attack Resist,-,TRUE,3,5,8,12,20,Deep Firefly,3,-,-,-,-,Frox Fang,3,Dark Clump,5,-,-,Obsidian Frox Fang,3,Zonaite,20,Frox Fingernail,3,Blue-White Frox Fang,5,Large Zonaite,10,Frox Guts,3,暗闇の脚絆,"奇妙な像にポゥを捧げる事で得られる脚絆
魔物から採れる素材を用いているようで
瘴気の影響をわずかに遮る事ができる",Armor_1141_Lower,Armor_1142_Lower,Armor_1143_Lower,Armor_1144_Lower,Armor_1145_Lower,-,UnderGround,114,048
Miner's Mask,,-,"A mask used for working in darkness. The
attached lamps are filled with bioluminescent
material to light one's surroundings.",Head,Miner's Mask,Treasure Chest (Abandoned Kara Kara Mine),-,Cece (Ventest Clothing Boutique),4000,-,600,650,750,950,1450,Glow,,-,Shining Steps,-,TRUE,3,5,8,12,20,Brightbloom Seed,10,-,-,-,-,Brightbloom Seed,20,Brightcap,5,-,-,Giant Brightbloom Seed,15,Glowing Cave Fish,5,Deep Firefly,10,Giant Brightbloom Seed,20,Diamond,3,Large Zonaite,10,採掘のマスク,"暗闇の中で作業する際に用いたと言われている
マスク 取り付けられたランプは発光物質が
詰められており 周囲を淡く照らしてくれる",Armor_1051_Head,Armor_1052_Head,Armor_1053_Head,Armor_1054_Head,Armor_1055_Head,-,LightEmission,016,049
Miner's Top,,-,"A shirt featuring lamps of various sizes filled
with bioluminescent material. Made to help
with excavating dark environments.",Body,Miner's Top,Treasure Chest (Daphnes Canyon Mine),-,Cece (Ventest Clothing Boutique),4000,-,600,650,750,950,1450,Glow,,-,Shining Steps,-,TRUE,3,5,8,12,20,Brightbloom Seed,10,-,-,-,-,Brightbloom Seed,20,Brightcap,5,-,-,Giant Brightbloom Seed,15,Glowing Cave Fish,5,Deep Firefly,10,Giant Brightbloom Seed,20,Diamond,3,Large Zonaite,10,採掘の服,"発光物質を詰め込んだ大小のランプを
あしらった服 暗い環境で掘削などの
作業をするために作られたと言われている",Armor_1051_Upper,Armor_1052_Upper,Armor_1053_Upper,Armor_1054_Upper,Armor_1055_Upper,-,LightEmission,076,050
Miner's Trousers,,-,"The bioluminescent lamps on these trousers
shed light on where you step. They come in
handy when walking in darkness.",Legs,Miner's Trousers,Treasure Chest (Hylia Canyon Mine),-,Cece (Ventest Clothing Boutique),4000,-,600,650,750,950,1450,Glow,,-,Shining Steps,-,TRUE,3,5,8,12,20,Brightbloom Seed,10,-,-,-,-,Brightbloom Seed,20,Brightcap,5,-,-,Giant Brightbloom Seed,15,Glowing Cave Fish,5,Deep Firefly,10,Giant Brightbloom Seed,20,Diamond,3,Large Zonaite,10,採掘のズボン,"足元を照らせるように
発光物質を溜め込んだランプを備えたズボン
闇の中を進む際に重宝する",Armor_1051_Lower,Armor_1052_Lower,Armor_1053_Lower,Armor_1054_Lower,Armor_1055_Lower,-,LightEmission,115,051
Mystic Headpiece,,-,"Headgear acquired in exchange for
Bubbul gems. Made with prayers to
spirits, it protects the wearer, allowing them
to lose rupees instead of health when hit.",Head,Mystic Headpiece,Koltin (47 Bubbul Gems),-,Cece (Ventest Clothing Boutique),4000,-,600,-,-,-,-,Rupee Padding,,-,-,-,TRUE,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,精霊のかしら,"マヨイの落とし物と交換で貰った額当て 精霊への
祈りがこめられた一品で その加護により
攻撃を受けても 体力の代わりにルピーが減少する",Armor_1086_Head,-,-,-,-,-,MagicArmor,017,052
Mystic Robe,,-,"A robe acquired in exchange for Bubbul gems.
Woven with prayers to spirits, it protects the
wearer, allowing them to lose rupees instead
of health when hit.",Body,Mystic Robe,Koltin (9 Bubbul Gems),-,Cece (Ventest Clothing Boutique),4000,-,600,-,-,-,-,Rupee Padding,,-,-,-,TRUE,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,精霊の衣,"マヨイの落とし物と交換で貰った装束 精霊への
祈りをこめて織られており その加護で
攻撃を受けても 体力の代わりにルピーが減少する",Armor_1086_Upper,-,-,-,-,-,MagicArmor,077,053
Mystic Trousers,,-,"Trousers acquired in exchange for Bubbul
gems. Each thread is blessed by spirits,
protecting the wearer by allowing them to
lose rupees instead of health when hit.",Legs,Mystic Trousers,Koltin (22 Bubbul Gems),-,Cece (Ventest Clothing Boutique),4000,-,600,-,-,-,-,Rupee Padding,,-,-,-,TRUE,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,精霊の袴,"マヨイの落とし物と交換で貰った履物 織り糸の
一本一本に精霊への祈りがこめられ その加護で
攻撃を受けても 体力の代わりにルピーが減少する",Armor_1086_Lower,-,-,-,-,-,MagicArmor,116,054
Ember Headdress,,-,"Used in ancient rituals, this item is made of
heat-absorbing cloth that produces flame in
high-temperature environments. ",Head,Ember Headdress,Treasure Chest (YunoboCo HQ South Cave),-,Cece (Ventest Clothing Boutique),4000,-,600,650,750,950,1450,Hot Weather Attack,,-,Hot Weather Charge,-,TRUE,2,4,6,9,16,Fire Fruit,3,-,-,-,-,Fire-Breath Lizalfos Horn,5,Summerwing Butterfly,5,-,-,Fire Like Stone,5,Warm Darner,5,Large Zonai Charge,5,Gleeok Flame Horn,5,Sizzlefin Trout,10,Large Zonai Charge,10,火炎の頭飾り,"古の時代に祭事に使われたとされる頭飾り
蓄熱性を備える素材で作られており 高温環境で
周囲の熱を用い 炎を生み出す攻撃ができる",Armor_1061_Head,Armor_1062_Head,Armor_1063_Head,Armor_1064_Head,Armor_1065_Head,-,ChemicalFire,018,055
Ember Shirt,,-,"Used in ancient rituals, this item is made of
heat-absorbing cloth that produces flame in
high-temperature environments. ",Body,Ember Shirt,Treasure Chest (Goronbi River Cave),-,Cece (Ventest Clothing Boutique),4000,-,600,650,750,950,1450,Hot Weather Attack,,-,Hot Weather Charge,-,TRUE,2,4,6,9,16,Fire Fruit,3,-,-,-,-,Fire-Breath Lizalfos Horn,5,Summerwing Butterfly,5,-,-,Fire Like Stone,5,Warm Darner,5,Large Zonai Charge,5,Gleeok Flame Horn,5,Sizzlefin Trout,10,Large Zonai Charge,10,火炎の服,"大昔に祭事に用いたとされる服 蓄熱性が高い
生地で仕立てられており 高温環境において
周囲の熱を利用して 炎を生み出す攻撃ができる",Armor_1061_Upper,Armor_1062_Upper,Armor_1063_Upper,Armor_1064_Upper,Armor_1065_Upper,-,ChemicalFire,078,056
Ember Trousers,,-,"Used in ancient rituals, this item is made of
heat-absorbing cloth that produces flame in
high-temperature environments. ",Legs,Ember Trousers,Treasure Chest (Cephla Lake Cave),-,Cece (Ventest Clothing Boutique),4000,-,600,650,750,950,1450,Hot Weather Attack,,-,Hot Weather Charge,-,TRUE,2,4,6,9,16,Fire Fruit,3,-,-,-,-,Fire-Breath Lizalfos Horn,5,Summerwing Butterfly,5,-,-,Fire Like Stone,5,Warm Darner,5,Large Zonai Charge,5,Gleeok Flame Horn,5,Sizzlefin Trout,10,Large Zonai Charge,10,火炎のズボン,"その昔 祭事用として仕立てられたとされるズボン
生地が蓄熱性を持っているため 高温環境において
周りの熱を使って 炎を生み出す攻撃ができる",Armor_1061_Lower,Armor_1062_Lower,Armor_1063_Lower,Armor_1064_Lower,Armor_1065_Lower,-,ChemicalFire,117,057
Charged Headdress,,-,"Used in ancient rituals and made from 
conductive material, this item produces
electricity during thunderstorms.",Head,Charged Headdress,Treasure Chest (Dracozu River),-,-,-,-,-,-,-,-,-,Stormy Weather Attack,,-,Stormy Weather Charge,-,TRUE,3,5,8,12,20,Shock Fruit,3,-,-,-,-,Electric Lizalfos Horn,5,Thunderwing Butterfly,3,-,-,Shock Like Stone,5,Electric Darner,5,Large Zonai Charge,3,Gleeok Thunder Horn,5,Voltfin Trout,10,Large Zonai Charge,5,雷光の頭飾り,"大昔に祭事に用いたとされる頭飾り
帯電性が高い素材の特性を利用して
雷雨の大気から 雷を生み出す攻撃ができる",Armor_1066_Head,Armor_1067_Head,Armor_1068_Head,Armor_1069_Head,Armor_1070_Head,-,ChemicalElectric,019,058
Charged Shirt,,-,"Used in ancient rituals and made from 
conductive material, this item produces
electricity during thunderstorms.",Body,Charged Shirt,Treasure Chest (Dracozu River),-,-,-,-,-,-,-,-,-,Stormy Weather Attack,,-,Stormy Weather Charge,-,TRUE,3,5,8,12,20,Shock Fruit,3,-,-,-,-,Electric Lizalfos Horn,5,Thunderwing Butterfly,3,-,-,Shock Like Stone,5,Electric Darner,5,Large Zonai Charge,3,Gleeok Thunder Horn,5,Voltfin Trout,10,Large Zonai Charge,5,雷光の服,"その昔 祭事用として仕立てられたとされる服
生地が高い帯電性を持つため 雷雨時に
周りの電気を集め 雷を生み出す攻撃ができる",Armor_1066_Upper,Armor_1067_Upper,Armor_1068_Upper,Armor_1069_Upper,Armor_1070_Upper,-,ChemicalElectric,079,059
Charged Trousers,,-,"Used in ancient rituals and made from 
conductive material, this item produces
electricity during thunderstorms.",Legs,Charged Trousers,Treasure Chest (Dracozu River),-,-,-,-,-,-,-,-,-,Stormy Weather Attack,,-,Stormy Weather Charge,-,TRUE,3,5,8,12,20,Shock Fruit,3,-,-,-,-,Electric Lizalfos Horn,5,Thunderwing Butterfly,3,-,-,Shock Like Stone,5,Electric Darner,5,Large Zonai Charge,3,Gleeok Thunder Horn,5,Voltfin Trout,10,Large Zonai Charge,5,雷光のズボン,"古の時代に祭事に使われたとされるズボン
高い帯電性を備える布で作られており 雷雨時に
空気中の電気を利用し 雷を生み出す攻撃ができる",Armor_1066_Lower,Armor_1067_Lower,Armor_1068_Lower,Armor_1069_Lower,Armor_1070_Lower,-,ChemicalElectric,118,060
Frostbite Headdress,,-,"Made for ancient rituals, this item's cold-
absorbing cloth produces frost in low-
temperature environments. ",Head,Frostbite Headdress,Treasure Chest (Lake Kilsie Cave),-,Cece (Ventest Clothing Boutique),4000,-,600,650,750,950,1450,Cold Weather Attack,,-,Cold Weather Charge,-,TRUE,2,4,6,9,16,Ice Fruit,3,-,-,-,-,Ice-Breath Lizalfos Horn,5,Winterwing Butterfly,5,-,-,Ice Like Stone,5,Cold Darner,5,Large Zonai Charge,5,Gleeok Frost Horn,5,Chillfin Trout,10,Large Zonai Charge,10,吹雪の頭飾り,"その昔 祭事用として作られたとされる頭飾り
冷媒の性質を持つ素材が用いられており
低温環境において 冷気を生み出す攻撃ができる",Armor_1071_Head,Armor_1072_Head,Armor_1073_Head,Armor_1074_Head,Armor_1075_Head,-,ChemicalIce,020,061
Frostbite Shirt,,-,"Made for ancient rituals, this item's cold-
absorbing cloth produces frost in low-
temperature environments. ",Body,Frostbite Shirt,Treasure Chest (Brightcap Cave),-,Cece (Ventest Clothing Boutique),4000,-,600,650,750,950,1450,Cold Weather Attack,,-,Cold Weather Charge,-,TRUE,2,4,6,9,16,Ice Fruit,3,-,-,-,-,Ice-Breath Lizalfos Horn,5,Winterwing Butterfly,5,-,-,Ice Like Stone,5,Cold Darner,5,Large Zonai Charge,5,Gleeok Frost Horn,5,Chillfin Trout,10,Large Zonai Charge,10,吹雪の服,"古の時代に祭事に使われたとされる服
生地に冷媒となる素材が使われているため
低温環境において 冷気を生み出す攻撃ができる",Armor_1071_Upper,Armor_1072_Upper,Armor_1073_Upper,Armor_1074_Upper,Armor_1075_Upper,-,ChemicalIce,080,062
Frostbite Trousers,,-,"Made for ancient rituals, this item's cold-
absorbing cloth produces frost in low-
temperature environments. ",Legs,Frostbite Trousers,Treasure Chest (Hebra Headspring Cave),-,Cece (Ventest Clothing Boutique),4000,-,600,650,750,950,1450,Cold Weather Attack,,-,Cold Weather Charge,-,TRUE,2,4,6,9,16,Ice Fruit,3,-,-,-,-,Ice-Breath Lizalfos Horn,5,Winterwing Butterfly,5,-,-,Ice Like Stone,5,Cold Darner,5,Large Zonai Charge,5,Gleeok Frost Horn,5,Chillfin Trout,10,Large Zonai Charge,10,吹雪のズボン,"大昔に祭事に用いたとされるズボン
使われている布が冷媒の特性を持っているため
低温環境で 冷気を生み出す攻撃ができる",Armor_1071_Lower,Armor_1072_Lower,Armor_1073_Lower,Armor_1074_Lower,Armor_1075_Lower,-,ChemicalIce,119,063
