#,Name,Icon,Image,Section,Description,Common Locations 1,Common Locations 2,Fuse Attack Power,Hearts Recovered,Unique Cooking Effects,Properties (Strength),Properties (Effect),Recoverable Materials 1,Recoverable Materials 2,Recoverable Materials 3,Recoverable Materials 4,Recoverable Materials 5,Recoverable Materials 6,Recoverable Materials 7,Recoverable Materials 8,Recoverable Materials 9,Recoverable Materials 10,Recoverable Materials 11,Recoverable Materials 12,Enemy Sensor Target 1,Enemy Sensor Target 2,Quest Required To Purchase,Name (Japanese),Description (Japanese),SpecialDeal,ActorName
106,Fire Wizzrobe,,,Monsters,"These spell-casting monsters can be found
all over Hyrule. They hurl fireballs, summon
flaming monsters, and have been known to
severely raise the temperature around them.
The weather will normalize once the Wizzrobe
is defeated.",Hyrule Field,Eldin Canyon,-,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ファイアウィズローブ,"ハイラル全土に存在する魔法を使う魔物
火の玉を飛ばしたり
炎をまとった魔物を召喚したりしてくる
また ときおり周囲の天候を
灼熱に変える魔法を使ってくるが
ウィズローブを倒すことで 天候は平常に戻る",,Enemy_Wizzrobe_Fire
107,Ice Wizzrobe,,,Monsters,"These spell-casting monsters can be found all
over Hyrule. They create freezing blasts of air,
summon frozen monsters, and have been
known to cause blizzards to severely decrease
the temperature around them. The weather will
normalize once the Wizzrobe is defeated.",Tabantha Tundra,Hebra Mountains,-,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,アイスウィズローブ,"ハイラル全土に存在する魔法を使う魔物
冷気をまき散らしたり
冷気をまとった魔物を召喚したりしてくる
また ときおり周囲の天候を
大雪に変えてしまう魔法を使ってくるが
ウィズローブを倒すことで 天候は平常に戻る",,Enemy_Wizzrobe_Ice
108,Electric Wizzrobe,,,Monsters,"These spell-casting monsters can be found
all over Hyrule. They hurl balls of electricity,
summon monsters surging with electricity,
and have been known to cause thunderstorms
in the area. The weather will normalize once
the Wizzrobe is defeated.",Lanayru Great Spring,Tabantha Frontier,-,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,エレキウィズローブ,"ハイラル全土に存在する魔法を使う魔物
電気の玉を飛ばしたり
電気をまとった魔物を召喚したりしてくる
また ときおり周囲の天候を
雷雨に変えてしまう魔法を使ってくるが
ウィズローブを倒すことで 天候は平常に戻る",,Enemy_Wizzrobe_Electric
109,Meteo Wizzrobe,,,Monsters,"These spell-casting monsters can be found
all over Hyrule. They hurl multiple fireballs,
summon flaming monsters, and have been
known to severely raise the temperature
around them. They are more resilient than
Fire Wizzrobes.",Gerudo Highlands,Akkala Highlands,-,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,メテオウィズローブ,"ハイラル全土に存在する魔法を使う魔物
複数の火の玉を飛ばしたり
炎をまとった魔物を召喚したりしてくる
また ときおり周囲の天候を
灼熱に変えてしまう魔法を使う
ファイアウィズローブよりも体力が高い",,Enemy_Wizzrobe_Fire_Senior
110,Blizzrobe,,,Monsters,"These spell-casting monsters can be found
all over Hyrule. They use staves to create
freezing blasts of air or to summon frozen
monsters and have been known to cause
blizzards to severely decrease the temperature
around them. They are more dangerous than
Ice Wizzrobes.",Gerudo Highlands,-,-,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,フリーズウィズローブ,"ハイラル全土に生息する魔法を使う魔物
杖を操って 冷気をまき散らしたり
冷気をまとった魔物を召喚したりしてくる
また ときおり周囲の天候を大雪に変えてしまう
魔法も使ってくる事がある
アイスウィズローブよりも 体力が高く危険な相手",,Enemy_Wizzrobe_Ice_Senior
111,Thunder Wizzrobe,,,Monsters,"These spell-casting monsters can be found
all over Hyrule. They hurl multiple balls of
electricity, summon monsters surging with
electricity, and have been known to cause
thunderstorms in the area. They are more
resilient and dangerous than Electric
Wizzrobes.",Lanayru Great Spring,East Necluda,-,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ボルトウィズローブ,"ハイラル全土に存在する魔法を使う魔物
複数の電気の玉を飛ばしたり
電気をまとった魔物を召喚したりしてくる
また ときおり周囲の天候を
雷雨に変えてしまう魔法も使う
エレキウィズローブよりも体力が高く危険な相手",,Enemy_Wizzrobe_Electric_Senior
112,Like Like,,,Monsters,"A monster that has been appearing all over
Hyrule in recent days. Found dwelling in caves
and other dark places. It has an appetite for
swords and shields. If you get too close, it may
lunge at you with its mouth wide, swallow you
whole, and eat your equipment. The tongue in
the center of its mouth is very sensitive. Attack it
to make the creature falter.",Hyrule Field,East Necluda,-,-,-,-,-,Like Like Stone,Arrow x 5,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ライクライク,"ハイラル全土で 最近見られるようになった魔物で
洞窟などの暗い場所に生息している
剣や盾などを好む習性があり
近づくと大きな口を広げて 襲いかかり
飲み込まれると 装備が食べられてしまう
口の中央にある舌は刺激に弱く
攻撃されると怯んでしまう",,Enemy_LikeLike_Plane
113,Fire Like,,,Monsters,"These monsters live mostly in caves near
volcanoes. They belch scorching fire out of their
maws. There are still many mysteries about
them, but it seems they don't do well in the
cold. Don't get too close, or they'll gulp you
up into their large gullets and give you an all-
too-close look at their insides.",Eldin Mountains,Eldin Mountains Depths,-,-,-,-,-,Fire Fruit,Fire Like Stone,Arrow x 5,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ファイアライク,"ハイラル全土にて 見られる魔物で
主に火山近くの洞窟に生息しており
口から高熱の炎を吐き出してくる
いまだ 謎が多い生態だが
熱い環境に適応しているためか 冷気には弱い
うかつに近づくと 大きな口で飲み込まれてしまう
その体内の様子は飲み込まれた者のみが知る…",,Enemy_LikeLike_Fire
114,Ice Like,,,Monsters,"These monsters live mostly in caves in snowy
areas. They belch freezing cold air out of their
maws. There are still many mysteries about
them, but it seems they don't do well with fire.
Don't get too close, or they'll gulp you
up into their large gullets and give you an all-
too-close look at their insides.",Mount Lanayru,Gerudo Highlands,-,-,-,-,-,Ice Fruit,Ice Like Stone,Arrow x 5,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,アイスライク,"ハイラル全土にて 見られる魔物で
主に雪山近くの洞窟に生息しており
口から 凍てつく冷気を吐き出してくる
いまだ 謎が多い生態だが
生息する環境に適応しているせいか 炎に弱い
うかつに近づくと 大きな口で飲み込まれてしまう
その体内の様子は飲み込まれた者のみが知る…",,Enemy_LikeLike_Ice
115,Shock Like,,,Monsters,"These monsters can be found all over Hyrule
in dark places such as caves. They generate
electricity inside their bodies and expel
powerful lightning balls from their mouths. It's
believed that they stun their prey this way, but
there are still many unknowns about them.",Hyrule Field,East Necluda,-,-,-,-,-,Shock Fruit,Shock Like Stone,Arrow x 5,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,エレキライク,"ハイラル全土にて 見られる魔物で
洞窟などの暗い場所に生息している
体内の発電器官で電気を作りだし
口から強力な雷の球を放出してくる
しびれて動けなくなったところを
その大きな口で捕食すると言われているが
その生態には いまだ謎が多い",,Enemy_LikeLike_Electric
116,Rock Like,,,Monsters,"These monsters can be found all over Hyrule
in dark places such as caves. They're covered
in rocks that shield them like armor. They try
to intimidate you by spitting rocks out of their
mouths, but they can be quieted when they
have swallowed something.",Eldin Mountains,Lanayru Wetlands,-,-,-,-,-,Like Like Stone,Arrow x 5,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ロックライク,"ハイラル全土にて 見られる魔物で
洞窟などの暗い場所に生息している
鎧のように 岩を体中にまとっているため
太刀打ちできないほど硬い
離れていても 口から岩を吐き出して
威嚇してくるが 何かを飲み込んでいる時は
おとなしい",,Enemy_LikeLike_Crack
117,Evermean,,,Monsters,"A monster that mimics a tree, found throughout
the forests of Hyrule. These impostors are hard to
differentiate from the genuine article, making it
easy for them to team up and pounce on
unsuspecting passersby. Because the species
shares characteristics with trees, it can be
chopped down in much the same way.",Great Hyrule Forest,Hyrule Field,-,-,-,-,-,Energetic Rhino Beetle,Bladed Rhino Beetle,Rugged Rhino Beetle,Hightail Lizard,Acorn,Chickaloo Tree Nut,Golden Apple,Monster Extract,Korok Frond,Sturdy Thick Stick,-,-,-,-,Filling Out the Compendium,デグボグ,"樹木の姿に擬態した魔物で
ハイラル全土の森林付近に生息している
一目では他の樹木と区別がつかないため
気付いたら 複数体に囲まれていたという事も
少なくない
樹木と同じ性質を持っているため
木を切り倒す要領で戦うのが有効だ",,Enemy_Treant_Broadleaf
118,Aerocuda,,,Monsters,"An airborne monster that can be recognized by
its distinctive cries. They have strong, dexterous
feet and can often be seen cruising through the
sky with animals or other monsters in their
clutches. Thankfully, the breed's lightweight, 
aerodynamic body makes it easy to shoot down.",Greater Hyrule,-,-,-,-,-,-,Aerocuda Wing,Aerocuda Eyeball,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,カックーダ,"特徴的な鳴き声で飛び回る 飛行型の魔物

足の握力はかなりのもので 動物や魔物を
掴みながら 軽々と飛ぶ姿が目撃されている
反面 飛ぶことに特化しているため 体は軽く
攻撃が当たれば簡単に落ちる打たれ弱さを持つ",,Enemy_Toby_Junior
119,Gibdo,,,Monsters,"A monster that appeared along with the sand
shroud. Though slow to move, they can fight
without faltering to physical attacks thanks to
their tough outer skin. On the other hand, they
are vulnerable to fire and lightning, which can
turn them white and brittle.",Gerudo Desert,Gerudo Desert Depths,-,-,-,-,-,Gibdo Guts,Gibdo Bone,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ギブド,"砂塵とともに現れた魔物
動きは遅いものの 非常に頑丈な外皮を持っており
物理攻撃を受けても ほとんど怯むことなく
襲い掛かってくる
反面 炎や雷などの攻撃を受けると 白化して
もろくなる弱点を持つ",,Enemy_Zombie_Junior
120,Moth Gibdo,,,Monsters,"These monsters appeared along with the sand
shroud. Winged horrors that attack quickly
while in flight, they have tough skin that allows
them to withstand physical attacks. Fire and
lightning are effective against them.",Gerudo Desert,Gerudo Desert Depths,-,-,-,-,-,Gibdo Guts,Gibdo Wing,Gibdo Bone,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,モスギブド,"砂塵とともに現れた魔物
ギブドが羽を持った種で 移動能力が上がっており
空から敵視した者を襲う
非常に頑丈な外皮を持っており
物理攻撃を受けても 簡単には怯まない
反面 炎や雷などの攻撃を受けると 白化して
もろくなる弱点を持つ",,Enemy_Zombie_Boss_Junior
121,Bokoblin,,,Monsters,"This common species is a nuisance all over
Hyrule. While not very clever, they are at least
intelligent enough to hunt beasts and grill the
meat for food. They are sometimes seen
marching in groups. If they come at you, watch
out for their sharp horns!",Hyrule Field,Central Hyrule Depths,-,-,-,-,-,Bokoblin Fang,Bokoblin Horn,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ボコブリン,"ハイラル全土に 生息する狂暴な魔物
あまり賢くはないが
ケモノを狩って焼く程度の知性はあり
仲間と隊列を組んで行進する姿もみられる
頭に鋭利な角を持ち
その角を使って襲ってくることもある",,Enemy_Bokoblin_Junior
122,Blue Bokoblin,,,Monsters,"This common species is a nuisance all
over Hyrule. They're tougher than the red
Bokoblins—and their horns are sharper, so
watch out!",Hyrule Field,Eldin Canyon,-,-,-,-,-,Bokoblin Fang,Bokoblin Guts,Blue Bokoblin Horn,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,青ボコブリン,"ハイラル全土に 生息する魔物
赤いボコブリンと比べると
体力が高く 頭の角も鋭さが増しており
その攻撃には 注意が必要だ",,Enemy_Bokoblin_Middle
123,Black Bokoblin,,,Monsters,"Although Bokoblins are generally a nuisance,
the Black Bokoblins are among the most
dangerous type. They're extremely resilient
and powerful, especially when it comes to their
forceful attacks with their hefty horns.",Gerudo Desert,Hyrule Ridge Depths,-,-,-,-,-,Bokoblin Fang,Bokoblin Guts,Black Bokoblin Horn,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,黒ボコブリン,"ハイラル全土に 生息する魔物
体力は非常に高く 腕力も増している
特に重量のある角での一撃は 重く鋭く
ボコブリン族のなかでも最上級の危険度である",,Enemy_Bokoblin_Senior
124,Stalkoblin,,,Monsters,"These remains of Bokoblins hate light and only
move about in the dark. While they're fragile
enough to crumble from a single blow, they have
sharp horns. And as long as a skull remains
intact, they'll continue to pull themselves back
together and go on fighting.",Great Hyrule Forest,Gerudo Desert Depths,-,-,-,-,-,Bokoblin Fang,Bokoblin Horn,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,スタルボコブリン,"暗闇に現れるボコブリンの亡骸
光に弱く 暗闇でしか活動できない
一撃加えるだけで バラバラになるほどもろいが
骨になっても 鋭利な角は健在で
頭蓋骨さえあれば 何度でも復活してくる",,Enemy_Bokoblin_Bone_Junior
125,Silver Bokoblin,,,Monsters,"You would be foolish to call these Silver
Bokoblins a mere nuisance. They have been
influenced by Ganon's fiendish magic, so they
are stronger than even the Black Bokoblins.
It's said that the Demon King's power marked
their silver bodies with purple patterns. The
magical glow at the tip of their horns may look
funny at a glance, but don't take these creatures
lightly, or the joke will be on you.",Unknown,-,-,-,-,-,-,Bokoblin Fang,Bokoblin Guts,Silver Bokoblin Horn,-,-,-,-,-,-,-,-,-,-,-,Destroy Ganondorf,白銀ボコブリン,"黒ボコブリンをはるかに超える体力を持つ
最強のボコブリン
白い肉体に浮かぶ紫の縞模様は
魔王の凶悪な魔力によるものと言われている
角の先端は魔力によってほのかに発光していて
一見滑稽に見えるが 油断を誘うためのものであり
あなどってかかった者は 屍になるのがオチである",BossPackTarget,Enemy_Bokoblin_Dark
126,Boss Bokoblin,,,Monsters,"These heavyweight monsters are leaders of
Bokoblins. They swagger about, whistling
commands to the teams of minions nervously
trailing them. Their heavy horns are so sharp,
they can slice large trees clean in half.",Hyrule Field,Hyrule Ridge,-,-,-,-,-,Boss Bokoblin Fang,Boss Bokoblin Horn,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ボスボコブリン,"ボコブリン族を統率する 重量級の魔物
巨体を揺らしながら 子分を率いて闊歩し
角笛を様々に吹き分けて
子分達を手足のように操る
頭の角は重く 大木を両断する切れ味を誇る",,Enemy_Bokoblin_Boss_Junior
127,Blue Boss Bokoblin,,,Monsters,"These heavyweight monsters are leaders of
Bokoblins. They've got more stamina than
the red variety, and they execute powerful
punches and weapon attacks. The horns on
their heads are sharper too.",Hyrule Field,Lanayru Great Spring,-,-,-,-,-,Blue Boss Bokoblin Horn,Boss Bokoblin Fang,Boss Bokoblin Guts,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,青ボスボコブリン,"ボコブリン族を統率する 重量級の魔物
赤い個体に比べて体力が高く
その太い腕から繰り出される殴打や
武器を振り回しての攻撃は強烈
頭の角も 鋭さが増している",,Enemy_Bokoblin_Boss_Middle
128,Black Boss Bokoblin,,,Monsters,"These heavyweight monsters are leaders of
Bokoblins, and this variety has very high
stamina thanks to their large muscles. Even
skilled warriors will find them challenging due
to their coordinated attacks involving minions.
And those horns are just pure evil.",Hyrule Field,East Necluda,-,-,-,-,-,Black Boss Bokoblin Horn,Boss Bokoblin Fang,Boss Bokoblin Guts,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,黒ボスボコブリン,"ボコブリン族を統率する 重量級の魔物
卓越した腕力と体力を持つ強敵
子分たちとの連携攻撃は
熟練の剣士でも 苦戦を強いられる
角の見た目も 凶悪さが増しており
その高い威力がうかがえる",,Enemy_Bokoblin_Boss_Senior
129,Silver Boss Bokoblin,,,Monsters,"The mightiest of all Boss Bokoblins. It's a
wonder that they're related at all to the lowly,
garden-variety Bokoblin. The evil power of the
Demon King dwells in their bodies and horns,
enabling formidable attacks. And watch out for
the elite minions that hang around them too.",Unknown,-,-,-,-,-,-,Silver Boss Bokoblin Horn,Boss Bokoblin Fang,Boss Bokoblin Guts,-,-,-,-,-,-,-,-,-,-,-,Destroy Ganondorf,白銀ボスボコブリン,"もはやボコブリン族なのか疑わしいほどの
強さを誇る最強のボスボコブリン
強靭な肉体と角には 魔王の魔力が宿っており
繰り出される攻撃は すさまじい威力を誇る
付き従う子分達も 精鋭で固められており隙が無い",BossPackTarget,Enemy_Bokoblin_Boss_Dark
130,Moblin,,,Monsters,"This heavyweight species of monster can be
found all over Hyrule. They're physically very
strong, with a horn hard enough to crush a
rock. With their incredibly powerful arms,
Moblins have been known to pick up
Bokoblins and throw them as makeshift
projectile weapons.",Hyrule Field,Central Hyrule Depths,-,-,-,-,-,Moblin Fang,Moblin Horn,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,モリブリン,"ハイラル全土に 生息する重量級の魔物
強靭な足腰や 岩を打ち砕くほどの硬い角
すさまじい剛腕を兼ね備えており
ボコブリンを投げ飛ばしてくることもあるという",,Enemy_Moriblin_Junior
131,Blue Moblin,,,Monsters,"These heavyweight monsters can be found all
over Hyrule. They're much tougher than their
standard counterparts, with more powerful
arms and a fully developed horn on their heads
to smash things with.",Hyrule Field,Eldin Canyon,-,-,-,-,-,Moblin Fang,Moblin Guts,Blue Moblin Horn,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,青モリブリン,"ハイラル全土に 生息する剛腕の魔物
赤いモリブリンよりも 体力が高く
腕力も より向上している
さらに発達した頭の角は 多くの物を粉砕する",,Enemy_Moriblin_Middle
132,Black Moblin,,,Monsters,"These heavyweight monsters can be found
all over Hyrule and are among the most
dangerous types of Moblin. They're extremely
resilient, and a blow from the heavy horn can
easily crush a rock.",Gerudo Highlands,Deep Akkala,-,-,-,-,-,Moblin Fang,Moblin Guts,Black Moblin Horn,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,黒モリブリン,"ハイラル全土に 生息する重量級の魔物
体力は非常に高く 腕力も増しており
重量のある角による攻撃は 岩をも軽々砕く
モリブリン族のなかでも最上級の危険度である",,Enemy_Moriblin_Senior
133,Stalmoblin,,,Monsters,"The remains of Moblins appear in the dark. Even
the toughest Moblins become fragile when they're
little more than a pile of bones, so they'll crumble
after just a few attacks. However, as long as a
skull remains intact, they'll continue to pull
themselves back together and go on fighting.
They have hard, heavy horns, and they hate
strong light.",Great Hyrule Forest,Deep Akkala Depths,-,-,-,-,-,Moblin Fang,Moblin Horn,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,スタルモリブリン,"暗闇に現れるモリブリンの亡骸
強靭なモリブリンといえど 骨になればもろく
少し攻撃を加えるだけで バラバラになる
強い光も苦手としている
しかし 頭蓋骨さえあれば何度でも立ち直る上
重みのある硬い角による攻撃は尚も脅威である",,Enemy_Moriblin_Bone_Junior
134,Silver Moblin,,,Monsters,"The Demon King's fiendish magic has imbued
Silver Moblins with the greatest power and
resilience of all the Moblins. They're called
""silver"" for their body color as well as their rarity.
The purple patterns on their bodies also help
them to stand out. The ominous-looking horn has
the potential for a powerful attack.",Unknown,-,-,-,-,-,-,Moblin Fang,Moblin Guts,Silver Moblin Horn,-,-,-,-,-,-,-,-,-,-,-,Destroy Ganondorf,白銀モリブリン,"黒モリブリンを遥かに超える体力を持つ
最強のモリブリン
白い肉体と その希少性から
白銀モリブリンと呼ばれている
魔王の凶悪な魔力の影響を受け
体中に紫の縞模様が浮かび上がっており
禍々しく変化した角による一撃は脅威",BossPackTarget,Enemy_Moriblin_Dark
135,Lizalfos,,,Monsters,"These quick-witted, lizard-like monsters can be
found all over Hyrule. They're a sly species
that lurk underwater or use camouflage to
blend in with the environment to launch
ambushes. Moreover, they never sleep. And
even when they have no weapons, they'll
come at you swinging their sword-like horn.",Lanayru Wetlands,Lanayru Great Spring,-,-,-,-,-,Lizalfos Talon,Lizalfos Tail,Lizalfos Horn,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,リザルフォス,"ハイラル全土に生息する 俊敏なトカゲ類の魔物
水中に潜んだり 地面に体を擬態させ
奇襲してくることもある狡猾な種族
昼夜を問わず 寝ることはなく
手持ちの武器がなくても 剣のような角を
振りかざして襲ってくる",,Enemy_Lizalfos_Junior
136,Blue Lizalfos,,,Monsters,"These quick-witted, lizard-like monsters can be
found all over Hyrule. Compared to the green
Lizalfos, many of these carry much stronger
weapons and are extremely dangerous with
their longer and sharper horn.",Mount Lanayru,Akkala Highlands Depths,-,-,-,-,-,Lizalfos Talon,Blue Lizalfos Horn,Blue Lizalfos Tail,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,青リザルフォス,"ハイラル全土に生息する 俊敏なトカゲ類の魔物
緑のリザルフォスと比べて強靭な体力を持ち
角もより長く鋭くなっているため 非常に危険",,Enemy_Lizalfos_Middle
137,Black Lizalfos,,,Monsters,"A quick-witted, lizard-like species of monster
found all over Hyrule. Their sharpened horn
cuts like a knife, so be cautious even if they're
not carrying a weapon. They are among the
most dangerous Lizalfos, with high stamina.",Gerudo Desert,East Necluda,-,-,-,-,-,Lizalfos Talon,Black Lizalfos Horn,Black Lizalfos Tail,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,黒リザルフォス,"ハイラル全土に生息する 俊敏なトカゲ類の魔物
研ぎ澄まされた角は 刃物のような切れ味を持ち 
たとえ武器を持っていなくても油断は禁物
また体力も非常に高く
リザルフォス族のなかでも最上級の危険度である",,Enemy_Lizalfos_Senior
138,Stalizalfos,,,Monsters,"The remains of Lizalfos appear in the dark.
They're as sly as ever—even now that they're just
some bones stacked atop each other—and still
possess blade-like sharp horns. If a skull remains
intact, they will pull themselves back up and
continue to fight.",Lanayru Wetlands,Lanayru Great Spring,-,-,-,-,-,Lizalfos Talon,Lizalfos Horn,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,スタルリザルフォス,"暗闇に現れるリザルフォスの亡骸
骨になっても その俊敏さは変わらず
剣のような鋭い角も健在

頭蓋骨を打ち砕かなければ
何度バラバラになっても復活する",,Enemy_Lizalfos_Bone_Junior
139,Fire-Breath Lizalfos,,,Monsters,"These quick-witted, lizard-like monsters can be
found all over Hyrule. Their fiery breath makes
them pretty dangerous, but exposure to cold
will kill them instantly. The lava-like horn
retains extreme heat and burns anything that
touches it. They mainly live in volcanic regions.",Eldin Canyon,Gerudo Highlands,-,-,-,-,-,Lizalfos Talon,Fire-Breath Lizalfos Tail,Fire-Breath Lizalfos Horn,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,火吹きリザルフォス,"ハイラル全土に生息する 俊敏なトカゲ類の魔物
口から高熱の炎を吐き出す危険な種類だが
冷気に触れると 即死する
溶岩のような色をした角は熱を帯びており
触れるものを燃やしてしまう
主に火山地帯に生息している",,Enemy_Lizalfos_Fire
140,Ice-Breath Lizalfos,,,Monsters,"A quick-witted, lizard-like species of monster
found all over Hyrule. They are a troublesome
species that spit balls of ice and store freezing
power inside their pale horns, but will die instantly
if touched by fire. They live mainly on snowy
mountains.",Hebra Mountains,Gerudo Highlands,-,-,-,-,-,Lizalfos Talon,Ice-Breath Lizalfos Tail,Ice-Breath Lizalfos Horn,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,雹吐きリザルフォス,"ハイラル全土に生息する 俊敏なトカゲ類の魔物

青白く尖った角には 冷気の力が宿っており
口から氷の球を吐き出すやっかいな種類だが
炎に触れると即死する

主に雪山に生息している",,Enemy_Lizalfos_Ice
141,Electric Lizalfos,,,Monsters,"These quick-witted, lizard-like monsters can
be found all over Hyrule. They can emit strong
electrical currents from their bodies, so don't
get too close. Their horns are brimming with
electricity, which will discharge and arc to
nearby areas if struck by an arrow. They live
in desert climates.",Gerudo Desert,Faron,-,-,-,-,-,Lizalfos Talon,Electric Lizalfos Tail,Electric Lizalfos Horn,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,シビレリザルフォス,"ハイラル全土に 生息する俊敏なトカゲ類の魔物
体から強力な電気を発することがある
角は電気を帯びており
そこを弓で射ると広範囲に放電する
主に砂漠地方に生息している",,Enemy_Lizalfos_Electric
142,Silver Lizalfos,,,Monsters,"These Lizalfos have been influenced by the
Demon King's fiendish magic to become the
mightiest of all Lizalfos. They're called ""silver""
for their unique coloring and also to denote
their rarity. Their horns, turned ominous by the
Demon King's influence, can cut anything with
the slightest touch.",Unknown,-,-,-,-,-,-,Lizalfos Talon,Silver Lizalfos Horn,Silver Lizalfos Tail,-,-,-,-,-,-,-,-,-,-,-,Destroy Ganondorf,白銀リザルフォス,"黒リザルフォスを遥かに超える体力を持つ
最強のリザルフォス

白い肉体と その希少性から
白銀リザルフォスと呼ばれている
魔王の魔力を受け 禍々しく変化した角は
触れるだけで どんなものでも切り裂いてしまう",BossPackTarget,Enemy_Lizalfos_Dark
143,Horriblin,,,Monsters,"After the Upheaval, these monsters began
appearing in Hyrule's cave systems. They
have sturdy horns that are perfect for crushing
rocks and strong muscles that allow them to
traverse cave walls and ceilings as easily as if
they were walking on the ground. They often
hang from ceilings, waiting for prey.",Hyrule Caves,Eldin Canyon Depths,-,-,-,-,-,Horriblin Horn,Horriblin Claw,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ホラブリン,"天変地異後に 洞窟で見られるようになった魔物
硬い岩を砕くのに適した 頑強な角を持ち
発達した四肢で まるで地面を歩くかのように
天井や壁を自在に動き回る
洞窟に迷いこんだ動物を 天井にぶら下がって
待ち伏せし 上から仕留めて食料にしている",,Enemy_Horablin_Junior
144,Blue Horriblin,,,Monsters,"After the Upheaval, these monsters began
appearing in Hyrule's cave systems. Compared
to the red variety, they have more stamina and
more developed limbs, enabling them to hurl
large rocks with ease.",Hyrule Caves,Death Mountain Depths,-,-,-,-,-,Blue Horriblin Horn,Horriblin Claw,Horriblin Guts,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,青ホラブリン,"天変地異後に 洞窟で見られるようになった魔物
赤髪の個体に比べて 体力が高いうえ
四肢はさらに発達しており
大きな岩を軽々と掴んで 投げ飛ばす腕力がある",,Enemy_Horablin_Middle
145,Black Horriblin,,,Monsters,"After the Upheaval, these monsters began
appearing in Hyrule's cave systems. Because
of the inordinate amount of time they spend
moving along cave walls and ceilings, they have
developed great strength in their mighty arms.
This variety poses a huge threat to even the most
experienced adventurers.",Hyrule Caves,Gerudo Desert Depths,-,-,-,-,-,Black Horriblin Horn,Horriblin Claw,Horriblin Guts,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,黒ホラブリン,"天変地異後に 洞窟で見られるようになった魔物
他の個体よりも 長い間天井や壁を
動き回ってきたため 全身が鍛え抜かれており
その剛腕から繰り出される攻撃は
熟練の冒険者でも脅威となるほどである",,Enemy_Horablin_Senior
146,Silver Horriblin,,,Monsters,"The mightiest of the cave masters. The purple
markings on their bodies are due to the
overwhelming magic power of the Demon King.
Their tough bodies and horns have been
strengthened beyond the levels seen in their
lesser relatives, making these monsters more
dangerous than others of their ilk.",Unknown,-,-,-,-,-,-,Silver Horriblin Horn,Horriblin Claw,Horriblin Guts,-,-,-,-,-,-,-,-,-,-,-,Destroy Ganondorf,白銀ホラブリン,"洞窟を支配する 最強のホラブリン

体を覆う紫の髪は 魔王の魔力によるもので
元々強靭だった角や肉体は さらに強化されており
危険度は他の個体の比にならない",BossPackTarget,Enemy_Horablin_Dark
