Recipe #,Name,Inventory Icon,Caption,Required Ingredient 1,Required Ingredient 2,Required Ingredient 3,Required Ingredient 4,Required Ingredient 5,Cooking Method,Effect,Effect Level,Effect Duration,Base Hearts Recovered,Base Sell Price,Buy Price,Fusable,Fuse Attack Power,Fuse Property 1,Fuse Property 2,Fuse Property 3,Fuse Property 4,Fuse Property 5,Destroyed on Hit,Eat Animation,Caption (Elixir Level 2),Caption (Elixir Level 3),Name (Japanese),Caption (Japanese),ActorName,ActorName (Level 1),ActorName (Level 2),ActorName (Level 3)
074,Carrot Stew,,"This simple stew sat simmering for a long time
to bring out the sweetness of the carrots.",Carrot,Goat Butter,Fresh Milk,Tabantha Wheat,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,ニンジンシチュー,"ニンジンをたっぷり使ったシチュー
じっくり煮込まれて 独特の甘みが引き立っている",Item_Cook_K_08,-,-,-
075,Pumpkin Stew,,"Simply simmer a pumpkin to make
this dish. A favorite in Kakariko Village.",Pumpkin,Tabantha Wheat,Fresh Milk,Goat Butter,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,カボチャシチュー,"熟したカボチャを長時間煮込んだシチュー
カカリコ村では夕食としてよく作られる",Item_Cook_K_03,-,-,-
076,Meat Stew,,"The hearty meat in this mainstay dish leaves
bellies satisfied all throughout Hyrule.",Tier 1 Meat,Tabantha Wheat,Fresh Milk,Goat Butter,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,肉シチュー,"新鮮な肉をメインにした ハイラルの定番シチュー
食べごたえたっぷりで お腹も満足なひと皿",Item_Cook_K_01,-,-,-
077,Prime Meat Stew,,"Letting the large portions of choice cuts of
meat simmer brought out their savoriness.",Tier 2 Meat,Tabantha Wheat,Fresh Milk,Goat Butter,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,上肉シチュー,"大き目な上質肉を贅沢に使用したシチュー
煮込まれて肉の旨味がさらに凝縮したひと品",Item_Cook_K_02,-,-,-
078,Gourmet Meat Stew,,"The meat has simmered for so long it melts in
your mouth. A true bucket-list meal!",Tier 3 Meat,Tabantha Wheat,Fresh Milk,Goat Butter,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,極上肉シチュー,"煮込まれて最高に柔らかくなった極上の肉が
口の中でとろける 一度は食べたい絶品シチュー",Item_Cook_K_05,-,-,-
079,Meat-Stuffed Pumpkin,,"This hollow, meat-filled pumpkin is a
local specialty of Kakariko Village.",Pumpkin,Meat,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,肉詰めカボチャ,"カボチャをくり抜いて肉を詰めた料理
カカリコ村の代表的な郷土料理のひとつ",Item_Cook_B_20,-,-,-
080,Vegetable Risotto,,"The sweetness of the ingredients
gives this risotto a mild flavor.",Pumpkin or Carrot,Hylian Rice,Rock Salt,Goat Butter,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,野菜リゾット,"野菜の甘みが堪能できるリゾット
優しい味わいで 子供にも人気なひと皿",Item_Cook_G_13,-,-,-
081,Mushroom Risotto,,"The tantalizing aroma of mushrooms and
butter beckons you to the table.",Mushroom,Hylian Rice,Rock Salt,Goat Butter,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,キノコリゾット,"ハイラル米をじっくりと煮立てた料理
キノコとバターの香りが食欲をそそる",Item_Cook_G_12,-,-,-
082,Salmon Risotto,,"The rice used in this rich risotto permeates
the light flavor of the salmon.",Hearty Salmon,Hylian Rice,Rock Salt,Goat Butter,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,サーモンリゾット,"マックスサーモンの旨味がハイラル米に
しっかりと染み込んだ 濃厚なリゾット",Item_Cook_G_14,-,-,-
083,Crab Risotto,,"An everyday staple of seaside villages, the
secret to its delicious flavor lies in crab fat.",Crab,Hylian Rice,Rock Salt,Goat Butter,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,カニリゾット,"海沿いの村で 家庭料理として作られるリゾット
カニのミソも味付けに使うのが おいしさの秘密",Item_Cook_G_17,-,-,-
084,Cheesy Risotto,,"Rich risotto made with fish or mushroom
mixed with Hylian rice and Hateno cheese.",Fish / Mushroom / Plant,Hateno Cheese,Hylian Rice,Rock Salt,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,チーズリゾット,"魚やキノコなどの具材をハイラル米に混ぜ
ハテノチーズを入れて煮立てた 濃厚なリゾット",Item_Cook_Q_10,-,-,-
085,Poultry Pilaf,,"Sautéed Hylian rice steamed in poultry
broth. Cook on low heat until the rice is fluffy.",Raw Bird Drumstick,Bird Egg,Hylian Rice,Goat Butter,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,チキンピラフ,"炒めたハイラル米を トリ肉のダシ汁で炊いた料理
弱火でじっくり火が通され ふっくらした仕上がり",Item_Cook_E_01,-,-,-
086,Prime Poultry Pilaf,,"The rice permeates the savory taste of the
poultry in this Gerudo-region favorite.",Raw Bird Thigh,Bird Egg,Hylian Rice,Goat Butter,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,上チキンピラフ,"ゲルド地方で好んで作られる米料理
上質なトリ肉の旨味が 米によく染みている",Item_Cook_E_02,-,-,-
087,Gourmet Poultry Pilaf,,"Made with the highest-quality poultry, every
bite of this pilaf floods your mouth with flavor.",Raw Whole Bird,Bird Egg,Hylian Rice,Goat Butter,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,極上チキンピラフ,"極上のトリ肉を 贅沢に盛り付けたピラフ
噛むごとに深い味わいが 口の中に広がる逸品",Item_Cook_E_03,-,-,-
088,Seafood Paella,,"No fisherman's birthday bash would be
complete without this top-shelf seafood dish.",Porgy,Crab,Hylian Rice,Goat Butter,Rock Salt,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,海鮮パエリア,"贅沢な海鮮食材をたくさん使った特別な料理
漁師たちの祝い事には欠かせないひと品",Item_Cook_N_01,-,-,-
089,Curry Pilaf,,"The Goron spice used in this pilaf has given
it a rich, spicy aroma.",Goron Spice,Hylian Rice,Goat Butter,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,カレーピラフ,"ゴロンの香辛粉の香りが豊かなピラフ
マイルドな辛さで 食べやすく仕上げられている",Item_Cook_G_11,-,-,-
090,Fried Egg and Rice,,"The soft egg yolk pairs well with the fresh
rice in this simple dish.",Hylian Rice,Bird Egg,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,目玉焼きライス,"目玉焼きのとろりとした黄身が 炊き立てのご飯に
とても良く合う シンプルだが奥の深い料理",Item_Cook_E_04,-,-,-
091,Crunchy Fried Rice,,"Hylian rice fried up with meat in high-quality
oil. Each bite is packed with toasty flavor.",Meat,Oil Jar,Hylian Rice,Bird Egg,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,パラパラチャーハン,"ハイラル米と肉を質の良い油で炒めた料理
粒が際立っていて 口の中に香ばしい風味が広がる",Item_Cook_Q_08,-,-,-
092,Seafood Fried Rice,,"Various seafood has been sautéed with rice.
The stronger the flame, the tastier the dish!",Porgy,Hylian Rice,Rock Salt,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,海鮮チャーハン,"高級な海の食材を 米と一緒に炒めた一品
強火で炒めるとパラッと美味しく仕上がる",Item_Cook_G_10,-,-,-
093,Crab Omelet with Rice,,"The fluffy crab legs pair perfectly with the
rice for a truly scrumptious dish.",Crab,Bird Egg,Hylian Rice,Rock Salt,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,カニ玉チャーハン,"新鮮なカニの身たっぷりの豪華なチャーハン
ふんわりタマゴとの組み合わせが 絶妙な味わい",Item_Cook_G_16,-,-,-
094,Meat and Rice Bowl,,"This dish of rice and lightly seared meat is a
mainstay all throughout Hyrule.",Raw Meat,Hylian Rice,Rock Salt,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,ケモノ肉丼,"さっとあぶったケモノ肉を
ご飯の上に敷き詰めた定番どんぶり料理",Item_Cook_G_05,-,-,-
095,Prime Meat and Rice Bowl,,"This bowl is loaded with high-quality meat.
Your hunt for a serious meal ends here.",Raw Prime Meat,Hylian Rice,Rock Salt,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,上ケモノ肉丼,"上質なケモノ肉を豪快に盛り付けた どんぶり
ガッツリ食べたい時にぴったり",Item_Cook_G_06,-,-,-
096,Gourmet Meat and Rice Bowl,,"Only the most carefully selected cuts of high-
quality meats go into this dish.",Raw Gourmet Meat,Hylian Rice,Rock Salt,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,極上ケモノ肉丼,"極上のケモノ肉を選りすぐって使った 究極の肉丼
肉の旨味をシンプルかつ大胆に味わえる逸品",Item_Cook_G_09,-,-,-
097,Cheesy Meat Bowl,,"A high-calorie dish with meat and plenty of
cheese. A great dish for very hungry diners.",Raw Meat,Hylian Rice,Hateno Cheese,Rock Salt,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,チーズケモノ肉丼,"ケモノ肉とたっぷりのチーズを盛りつけた
高カロリー料理 お腹が空いている時に食べたい品",Item_Cook_S_02,-,-,-
098,Prime Cheesy Meat Bowl,,"This bowl is loaded with high-quality meat and
cheese. A satisfying meal for any big eater.",Raw Prime Meat,Hylian Rice,Hateno Cheese,Rock Salt,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,上チーズケモノ肉丼,"上質なケモノ肉を敷き詰めてチーズを乗せた 
食いしん坊も大満足のまんぷく料理",Item_Cook_S_03,-,-,-
099,Gourmet Cheesy Meat Bowl,,"Top-quality meat and cheese piled high. But
can it satisfy the ultimate gourmand?",Raw Gourmet Meat,Hylian Rice,Hateno Cheese,Rock Salt,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,極上チーズケモノ肉丼,"最高級のケモノ肉に限界までチーズを盛りつけた
究極の満足料理 人の食欲は留まる事を知らない",Item_Cook_S_04,-,-,-
100,Veggie Rice Balls,,"This home-style dish of Kakariko Village is
stuffed with the bounty of the mountains.",Plant,Hylian Rice,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,山菜おにぎり,"山の恵みの山菜を たっぷり詰め込んだおにぎり
カカリコ村の代表的な家庭料理のひとつ",Item_Cook_G_03,-,-,-
101,Mushroom Rice Balls,,"The aroma of the mushrooms tickles your
nose as you peel back the leafy wrapping.",Mushroom,Hylian Rice,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,キノコおにぎり,"キノコの混ぜ込みごはんで作ったおにぎり
包みを開くと キノコの香りがふわっと広がる",Item_Cook_G_04,-,-,-
102,Meaty Rice Balls,,"The sweet and spicy meat stuffed into these
rice balls will keep you full for some time.",Meat,Hylian Rice,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,肉おにぎり,"甘辛く味を付けた肉がたっぷり詰まった おにぎり
ボリューム満点でお腹にしっかり溜まる",Item_Cook_G_15,-,-,-
103,Seafood Rice Balls,,"Stuffed with aromatic seafood, the flavor can
vary by ingredients but never disappoints.",Fish,Hylian Rice,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,海鮮おにぎり,"香ばしく焼いた魚を詰めた おにぎり
中に入れる魚によって 違った味が楽しめる",Item_Cook_G_02,-,-,-
104,Veggie Porridge,,"Porridge made of easy-to-digest vegetables,
fresh milk, and Hylian rice. An uplifting dish.",Plant,Hylian Rice,Fresh Milk,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,山菜ミルクがゆ,"消化の良い野草とハイラル米を煮込んだおかゆ
元気が出ない時も やさしい味で満たしてくれる",Item_Cook_R_02,-,-,-
105,Wheat Bread,,"Made with wheat from the Tabantha region,
this soft, springy bread smells just heavenly.",Tabantha Wheat,Rock Salt,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,小麦パン,"タバンタ地方で採れる小麦を使ったパン
モチモチした食感と 小麦の豊かな香りが楽しめる",Item_Cook_M_01,-,-,-
106,Melty Cheesy Bread,,"Is there anything better than a simple slice of
bread baked with Hateno cheese on top?",Tabantha Wheat,Hateno Cheese,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,とろとろチーズパン,"ハテノチーズを乗せて焼いた素朴なパン
温かいチーズの香りが食欲をそそる",Item_Cook_R_09,-,-,-
107,Hylian Tomato Pizza,,"A pizza made with fresh Hylian tomato. Slices
of melty Hateno cheese make it irresistible.",Hylian Tomato,Tabantha Wheat,Hateno Cheese,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,トマトピザ,"新鮮なハイラルトマトをトッピングしたピザ
とろけるハテノチーズがたまらない",Item_Cook_R_04,-,-,-
108,Meat Pie,,"You'll need an extra napkin to deal with this
juicy pie of perfectly baked minced meat.",Meat,Tabantha Wheat,Goat Butter,Rock Salt,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,ミートパイ,"細かくした肉を パイ生地に包んで焼きあげた料理
ジューシーな肉汁がたっぷり詰まっている",Item_Cook_I_04,-,-,-
109,Fish Pie,,"A mainstay in any fisherman's home, the
crisp crust pairs well with the fishy flavor.",Fish,Tabantha Wheat,Goat Butter,Rock Salt,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,フィッシュパイ,"パイで魚を包んで焼く 漁師の奥さんの定番料理
魚の旨味とサクサクした食感を楽しめる ひと皿",Item_Cook_I_15,-,-,-
110,Cheesy Tomato,,"A simple dish of Hylian tomato topped with
delicious Hateno cheese. A perfect snack.",Hylian Tomato,Hateno Cheese,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,チーズトマト,"ハイラルトマトにハテノチーズをのせた
シンプル料理 小腹が空いた時にちょうど良い",Item_Cook_S_10,-,-,-
111,Cheesy Baked Fish,,"Fresh seafood delightfully accented with a
generous serving of Hateno cheese.",Fish,Hateno Cheese,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingSkewer,-,-,鮮魚のチーズ焼き,"新鮮な海産物をハテノチーズと一緒に焼いた料理
魚の旨味とチーズの風味が相性抜群",Item_Cook_R_10,-,-,-
112,Omelet,,"This simple dish is common all over Hyrule.
Simply fry egg until it's nice and plump.",Bird Egg,-,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,たまご焼き,"新鮮なたまごをふっくらと焼き上げた
朝食にぴったりな 定番たまご料理",Item_Cook_A_10,-,-,-
113,Vegetable Omelet,,"This home-style dish mixes fluffy eggs with
chopped vegetables for nutritional balance.",Plant,Bird Egg,Goat Butter,Rock Salt,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,野菜オムレツ,"新鮮なタマゴをフワッと焼きあげた家庭料理
刻んだ野菜が混ぜられていて 栄養バランスも満点",Item_Cook_N_03,-,-,-
114,Mushroom Omelet,,"The fluffy texture of this omelet is one of the
great joys of this dish, as well as life.",Mushroom,Bird Egg,Rock Salt,Goat Butter,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,キノコオムレツ,"香りの強いキノコを混ぜ込んだオムレツ
ふわふわの食感が楽しめるひと皿",Item_Cook_N_04,-,-,-
115,Cheesy Omelet,,"A satisfying dish with Hateno cheese poured
over a tasty omelet.",Mushroom / Plant,Hateno Cheese,Bird Egg,Rock Salt,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,チーズオムレツ,"そのままでもおいしいオムレツに ハテノチーズの
ソースをたっぷりかけた大満足な料理",Item_Cook_R_01,-,-,-
116,Hot Buttered Apple,,"The apple's sweetness has been enhanced
by smothering it with butter and baking it.",Apple / Golden Apple,Goat Butter,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,リンゴバター,"火を通して甘味が増したリンゴに
アツアツのヤギのバターを絡めた濃厚スイーツ",Item_Cook_I_07,-,-,-
117,Honeyed Fruits,,"A dish that combines the thick sweetness of
honey with the acidity of sour fruits.",Fruit,Courser Bee Honey,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,ハチミツ果実,"ハチミツの濃厚な甘みと
フルーツの酸味が口いっぱいに広がるスイーツ",Item_Cook_I_09,-,-,-
118,Honeyed Apple,,"A juicy sweet-and-sour dish combining
newly ripened apples with honey. ",Apple / Golden Apple,Courser Bee Honey,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,ハチミツリンゴ,"完熟リンゴとハチミツが絡み合う
甘酸っぱくジューシーなスイーツ",Item_Cook_I_08,-,-,-
119,Honey Candy,,"A natural sweet, brimming with nutrition and
made by stewing fresh honey.",Courser Bee Honey,-,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,ハチミツアメ,"巣から集めたハチミツを 煮詰めて固めた
ほんのり甘い 栄養満点の天然キャンディー",Item_Cook_I_16,-,-,-
120,Fried Bananas,,"Children love fried mighty bananas. The trick
is frying them over very high heat.",Mighty Bananas,Tabantha Wheat,Cane Sugar,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,あげバナナ,"ツルギバナナを揚げた子供に人気のおやつ
高温でサッと揚げるのがおいしく作るコツ",Item_Cook_I_13,-,-,-
121,Egg Pudding,,"Made by cooking eggs and milk in a special
mold, its soft texture melts in your mouth.",Bird Egg,Fresh Milk,Cane Sugar,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,たまごプリン,"タマゴとミルクを型に入れて焼いたデザート
なめらかで 舌の上でとろける食感が楽しめる",Item_Cook_I_14,-,-,-
122,Plain Crepe,,"The simplicity of this dish lets the flavor of its
ingredients shine.",Tabantha Wheat,Fresh Milk,Bird Egg,Cane Sugar,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,プレーンクレープ,"薄く伸ばした砂糖入りの生地を焼いたデザート
素材の味が活きるシンプルなひと品",Item_Cook_I_10,-,-,-
123,Wildberry Crepe,,"Sweet, tart wildberries are folded into thin,
springy dough to make this dessert.",Tabantha Wheat,Fresh Milk,Bird Egg,Cane Sugar,Wildberry,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,イチゴクレープ,"しっとりモチモチに焼き上げた生地に 
甘酸っぱいイチゴをたっぷり包んだクレープ",Item_Cook_I_11,-,-,-
124,Honey Crepe,,"Honey has been drizzled over thin crepes to
bring out their natural sweetness and flavor.",Tabantha Wheat,Fresh Milk,Bird Egg,Cane Sugar,Courser Bee Honey,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,ハチミツクレープ,"薄く焼いた生地にハチミツを掛けたデザート
自然な甘さと 豊かな風味が特徴",Item_Cook_I_17,-,-,-
125,Nutcake,,"Forest nuts give this cake a pleasant texture
and a simple, understated sweetness.",Tabantha Wheat,Goat Butter,Cane Sugar,Nut,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,ナッツケーキ,"森で手に入る木の実を使ったケーキ
素朴な甘さと 木の実の食感が楽しめる",Item_Cook_I_12,-,-,-
126,Fruitcake,,"Making ample use of fruits found all over
Hyrule, this cake is a must for celebrations.",Dessert Fruit,Apple or Wildberry,Tabantha Wheat,Cane Sugar,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,フルーツケーキ,"ハイラル中の新鮮なフルーツをふんだんに使った
豪華なケーキ お祝い事には欠かせないひと品",Item_Cook_N_02,-,-,-
127,Carrot Cake,,"Even those who don't like carrots tend to
enjoy the mild sweetness of this cake.",Carrot,Tabantha Wheat,Cane Sugar,Goat Butter,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,ニンジンケーキ,"優しい甘さが特徴のケーキ
ニンジンが苦手な人でも食べられると言われる",Item_Cook_I_05,-,-,-
128,Pumpkin Pie,,"The intense sweetness of pumpkins makes
this dessert popular among children.",Pumpkin,Tabantha Wheat,Cane Sugar,Goat Butter,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,カボチャケーキ,"カボチャをたっぷり使った黄金色のケーキ
濃厚な甘さが子供にも大人気",Item_Cook_I_06,-,-,-
129,Cheesecake,,"A rich, moist, flavorful dessert with a
Hateno cheese base.",Hateno Cheese,Tabantha Wheat,Cane Sugar,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,チーズケーキ,"ハテノチーズを使った 風味豊かなケーキ
しっとりしていて濃厚な味わい",Item_Cook_Q_09,-,-,-
130,Fruit Pie,,"A celebration isn't a celebration until this
fruit-filled crust hits the table!",Fruit,Tabantha Wheat,Goat Butter,Cane Sugar,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,フルーツパイ,"パイ生地に果物をたっぷり乗せたデザート
ハイラルではお祝いの際によく作られる",Item_Cook_I_01,-,-,-
131,Apple Pie,,"The crispy, flaky pie crust and sweet apples
are a match made in heaven.",Apple / Golden Apple,Tabantha Wheat,Goat Butter,Cane Sugar,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,アップルパイ,"新鮮なリンゴをたっぷり使った定番のデザート
サクサクのパイ生地とリンゴの甘さが 相性抜群",Item_Cook_I_02,-,-,-
132,Egg Tart,,"You'll know this simple dessert is done
baking when it smells just delightful.",Bird Egg,Tabantha Wheat,Goat Butter,Cane Sugar,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,エッグタルト,"濃厚な卵黄のクリームをパイ生地に詰めて
香ばしく焼き上げたデザート",Item_Cook_I_03,-,-,-
133,Milk,,"Make this by heating up some milk. Drink it
before bed to ensure a good night's sleep.",Fresh Milk,-,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,Drink,-,-,ホットミルク,"フレッシュミルクをじっくりと温めた飲み物
寝る前に飲むとリラックスできる",Item_Cook_K_09,-,-,-
134,Noble Pursuit,,"A popular fruit juice in Gerudo Town. Its
tropical flavor will cheer you right up.",Palm Fruit,Hydromelon,Voltfruit,Rock Salt,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,Drink,-,-,ヴァーイミーツヴォーイ,"ゲルドの街で人気のフルーツジュース
飲むと気分が高揚する トロピカルな味",Item_Cook_R_03,-,-,-
135,Monster Stew,,"Meat and seafood simmered in monster
extract. A savory dish despite its ingredients.",Meat,Fish,Monster Extract,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,マモノ煮込み,"肉や魚をマモノエキスで煮込んだキワモノ料理
他の食材には出せない旨味があるらしいが…",Item_Cook_L_01,-,-,-
136,Monster Soup,,"Using monster extract as a base, this soup's
distinct gaminess is either loved or hated.",Tabantha Wheat,Goat Butter,Fresh Milk,Monster Extract,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,マモノスープ,"マモノエキスをベースに作ったスープ
癖がとても強く 好みが分かれる独特な味わい",Item_Cook_L_02,-,-,-
137,Monster Curry,,"This unusual take on curry uses monster
extract and doesn't rely only on spices.",Hylian Rice,Goron Spice,Monster Extract,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,マモノカレー,"マモノエキスがたっぷり使われた 変り種カレー
辛さだけではない刺激が味わえるらしい",Item_Cook_L_05,-,-,-
138,Monster Rice Balls,,"Rice balls flavored with monster extract.
Their unique aroma is not for everyone.",Hylian Rice,Rock Salt,Monster Extract,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,マモノにぎり,"マモノエキスで味付けされた 斬新なおにぎり
独特の香りがして 食べる人を選ぶ味付け",Item_Cook_L_04,-,-,-
139,Monster Cake,,"It's said that once you have a taste of this
cake, you'll never forget its sweetness.",Tabantha Wheat,Cane Sugar,Monster Extract,Goat Butter,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,マモノケーキ,"マモノエキスを使った 独創的なケーキ
一度食べると忘れられない甘味があるという噂",Item_Cook_L_03,-,-,-
140,Dark Stew,,"A daring dish of dark clump stewed with
meat and fish. What a surprise!",Dark Clump,Meat,Fish,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,マジン煮込み,"肉や魚と一緒に闇の塊を煮込んだ 挑戦的な料理
何の具材が入っているかは 食べてみてのお楽しみ",Item_Cook_S_05,-,-,-
141,Dark Soup,,"A gooey soup built on stewed dark clump.
One could get lost in its swirls and flavors.",Dark Clump,Tabantha Wheat,Goat Butter,Fresh Milk,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,マジンスープ,"闇の塊を煮込んだ どろり濃厚スープ
風味は独特で 見ていると吸い込まれそうになる",Item_Cook_S_07,-,-,-
142,Dark Curry,,"A hard-hitting curry with a dark-clump
base, whose flavor is hard to hide.",Dark Clump,Goron Spice,Hylian Rice,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,マジンカレー,"闇の塊を材料に使った インパクト満点のカレー
隠しきれない素材の味わいが あふれ出ている",Item_Cook_S_08,-,-,-
143,Dark Rice Ball,,"A bold rice ball made with dark clump and
Hylian rice. Its flavor is unforgettable!",Dark Clump,Rock Salt,Hylian Rice,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,マジンにぎり,"闇の塊とハイラル米で作った 先鋭的なおにぎり
一度食べると忘れられない 深い深い味わい",Item_Cook_S_06,-,-,-
